customer_state,seller_state,n,median_freight,median_distance,median_delivery_days
RJ,BA,95,26.1,1213.8,11.0
RJ,CE,10,38.5,2187.9,13.5
RJ,DF,110,17.4,927.5,10.0
RJ,ES,74,30.5,412.0,10.0
RJ,GO,62,19.3,936.3,11.0
RJ,MA,42,27.7,2272.3,16.0
RJ,MG,1329,18.1,341.6,11.0
RJ,MS,9,20.4,1215.2,9.0
RJ,MT,14,37.2,1777.3,11.0
RJ,PB,10,56.8,1973.1,12.0
RJ,PE,54,21.3,1850.1,11.0
RJ,PI,1,34.8,1970.9,
RJ,PR,1147,19.0,839.7,13.0
RJ,RJ,1122,10.5,36.1,5.0
RJ,RN,2,35.0,2081.4,27.0
RJ,RO,2,53.5,2748.4,19.0
RJ,RS,267,21.6,1111.8,11.0
RJ,SC,540,19.7,746.1,12.0
RJ,SE,1,38.2,1567.7,8.0
RJ,SP,9688,17.2,383.6,12.0
RN,BA,10,18.1,858.5,12.0
RN,CE,1,97.4,435.7,13.0
RN,DF,7,22.8,1778.1,16.0
RN,ES,2,22.9,1720.3,18.5
RN,GO,1,25.4,1937.4,12.0
RN,MA,3,19.4,1068.2,22.0
RN,MG,35,29.2,1821.8,14.0
RN,MT,1,47.4,2036.4,15.0
RN,PB,1,19.3,251.0,11.0
RN,PE,4,20.4,254.0,7.0
RN,PR,20,40.3,2646.2,20.5
RN,RJ,23,34.8,2047.0,13.5
RN,RN,24,8.3,9.5,4.5
RN,RS,8,31.2,3164.2,13.0
RN,SC,14,55.7,2743.3,14.0
RN,SP,375,34.3,2285.6,18.0
RO,BA,3,44.5,2745.3,28.0
RO,CE,1,38.8,2781.9,25.0
RO,ES,1,89.8,2530.9,8.0
RO,GO,1,21.2,1809.0,18.0
RO,MG,16,27.7,2472.0,16.5
RO,MT,3,19.3,1136.1,17.0
RO,PE,3,82.5,3163.4,19.0
RO,PR,18,42.9,2000.8,17.0
RO,RJ,13,37.8,2581.4,26.0
RO,RS,11,43.1,2396.2,12.0
RO,SC,9,42.4,2305.2,16.0
RO,SP,199,34.2,2196.4,18.0
RR,BA,1,86.2,2734.6,10.0
RR,MG,4,31.3,3158.7,16.0
RR,PR,6,42.8,3379.9,21.5
RR,SC,1,84.9,3579.3,
RR,SP,40,30.0,3301.6,26.0
RS,BA,42,30.4,2311.1,13.0
RS,CE,1,42.5,3203.9,16.0
RS,DF,23,27.0,1609.0,12.0
RS,ES,21,38.0,1527.3,17.0
RS,GO,14,23.0,1478.0,14.0
RS,MA,17,36.6,3140.4,16.0
RS,MG,315,26.9,1281.7,15.0
RS,MS,1,29.3,1030.6,9.0
RS,MT,6,41.3,1873.5,11.5
RS,PE,14,54.0,2951.2,16.0
RS,PR,696,18.0,638.9,12.0
RS,RJ,227,18.9,1141.8,13.0
RS,RN,5,38.2,3164.9,28.0
RS,RO,1,43.1,2330.1,21.0
RS,RS,327,13.6,105.6,5.0
RS,SC,331,17.8,397.1,11.0
RS,SP,4194,17.7,867.7,13.0
SC,BA,16,43.9,1981.9,16.0
SC,CE,2,37.4,2730.0,20.5
SC,DF,26,25.6,1306.5,18.0
SC,ES,14,46.0,1253.8,15.0
SC,GO,11,21.6,1213.0,22.0
SC,MA,20,30.1,2825.8,14.5
SC,MG,288,20.1,923.2,15.0
SC,MS,1,18.8,860.8,13.0
SC,MT,6,25.3,1544.8,16.5
SC,PE,10,39.9,2596.8,16.0
SC,PI,1,54.4,2655.8,25.0
SC,PR,451,17.0,413.7,11.0
SC,RJ,138,19.1,772.4,12.0
SC,RN,1,48.3,2830.0,21.0
SC,RS,131,18.2,362.2,7.0
SC,SC,311,13.8,116.1,6.0
SC,SP,2749,17.7,548.4,13.0
SE,BA,10,19.7,278.9,16.0
SE,CE,3,21.1,817.2,14.0
SE,DF,3,18.0,1299.0,20.0
SE,ES,1,79.8,1182.2,
SE,MA,6,21.1,1227.4,32.0
SE,MG,41,34.2,1296.4,18.0
SE,PB,1,23.1,495.4,11.0
SE,PE,9,16.8,390.0,10.0
SE,PR,23,31.8,2067.3,20.5
SE,RJ,19,25.6,1478.2,17.0
SE,RO,1,54.0,2675.7,36.0
SE,RS,8,48.4,2551.6,16.5
SE,SC,19,29.4,2197.2,24.0
SE,SP,241,34.2,1727.1,17.0
SP,AC,1,32.8,2717.0,
SP,BA,153,25.7,1460.9,9.5
SP,CE,26,35.7,2360.7,14.0
SP,DF,336,17.3,862.6,9.0
SP,ES,119,33.1,741.2,10.0
SP,GO,141,23.0,804.4,10.0
SP,MA,131,27.8,2352.8,13.0
SP,MG,2964,16.7,463.9,9.0
SP,MS,19,19.4,903.4,8.0
SP,MT,34,34.2,1325.4,11.0
SP,PA,6,17.1,722.7,12.5
SP,PB,9,52.9,2203.8,10.0
SP,PE,106,25.4,2114.6,10.0
SP,PI,2,51.5,2047.3,13.0
SP,PR,3410,15.6,472.5,9.0
SP,RJ,1518,16.4,369.4,9.0
SP,RN,5,44.5,2305.1,15.0
SP,RO,7,52.7,2109.2,9.0
SP,RS,762,18.3,846.6,8.0
SP,SC,1506,18.0,487.0,10.0
SP,SE,2,26.4,1738.5,10.5
SP,SP,36192,11.8,94.9,6.0
TO,BA,2,45.1,1234.5,15.5
TO,DF,5,18.3,840.5,13.0
TO,ES,4,46.5,1290.3,17.0
TO,GO,5,18.2,727.0,12.0
TO,MA,2,61.9,936.8,23.0
TO,MG,17,35.7,1184.7,14.0
TO,PE,1,36.4,1344.2,15.0
TO,PR,17,34.2,1693.0,20.0
TO,RJ,16,24.2,1498.7,16.0
TO,RS,4,45.2,2186.3,13.5
TO,SC,13,35.8,1860.3,20.5
TO,SP,229,29.1,1477.8,15.0
